chunking_strategy,embedding_model,retriever,alpha,questions,recall_at_1,recall_at_3,recall_at_5,mrr,ndcg_at_5,avg_latency_sec
structural,e5_large,hybrid_reranker,0.8,155,0.9161290322580645,0.9870967741935484,0.9935483870967742,0.9507526881720431,0.962114304770474,0.33606866559674664
structural,bge_m3,hybrid_reranker,0.8,155,0.9161290322580645,0.9806451612903225,0.9935483870967742,0.9502150537634408,0.9616670567580443,0.32224064642383204
fixed_size,bge_m3,dense,,155,0.8903225806451613,0.9612903225806452,0.9935483870967742,0.9335483870967741,0.9487082988955752,0.028236498371247323
structural,bge_m3,dense,,155,0.8838709677419355,0.9483870967741935,0.9935483870967742,0.9256989247311828,0.9426158463676074,0.027007359843100272
fixed_size,bge_m3,hybrid_reranker,0.8,155,0.9161290322580645,0.9806451612903225,0.9870967741935484,0.9489247311827957,0.9591712321952407,0.3214410981824321
fixed_size,e5_large,hybrid_reranker,0.8,155,0.9161290322580645,0.9806451612903225,0.9870967741935484,0.9489247311827957,0.9591712321952407,0.32696191418555476
fixed_size,bge_m3,hybrid,0.9,155,0.9096774193548387,0.967741935483871,0.9806451612903225,0.9383870967741935,0.949507723638743,0.03730004218316847
structural,bge_m3,hybrid,0.9,155,0.8903225806451613,0.9548387096774194,0.9806451612903225,0.9254838709677419,0.9393251016545479,0.03756211188531691
structural,e5_large,dense,,155,0.8774193548387097,0.9483870967741935,0.9806451612903225,0.9163440860215054,0.9324262407388924,0.03423352856789866
fixed_size,e5_large,dense,,155,0.8709677419354839,0.9548387096774194,0.9806451612903225,0.9136559139784947,0.9304923903872669,0.029730169234737272
fixed_size,bge_m3,hybrid,0.8,155,0.8774193548387097,0.9548387096774194,0.9741935483870968,0.9141935483870967,0.9292502222245811,0.039190304663873486
structural,bge_m3,hybrid,0.8,155,0.8774193548387097,0.9419354838709677,0.967741935483871,0.9093548387096774,0.9238877515854228,0.039234941236434444
fixed_size,bge_m3,hybrid,0.65,155,0.864516129032258,0.9161290322580645,0.9483870967741935,0.8916129032258063,0.9056220551398132,0.03987024214959914
structural,bge_m3,hybrid,0.65,155,0.864516129032258,0.9032258064516129,0.9354838709677419,0.8873118279569893,0.8991704422365874,0.03824576100995464
fixed_size,e5_large,hybrid,0.9,155,0.864516129032258,0.9096774193548387,0.9290322580645162,0.8869892473118278,0.8974011060210119,0.040753902927521735
structural,e5_large,hybrid,0.9,155,0.864516129032258,0.9096774193548387,0.9225806451612903,0.8846236559139785,0.8940605733706507,0.04051055908203125
fixed_size,e5_large,hybrid,0.65,155,0.8516129032258064,0.896774193548387,0.9161290322580645,0.8740860215053763,0.8844978802145603,0.04011744991425545
fixed_size,e5_large,hybrid,0.8,155,0.8451612903225807,0.9032258064516129,0.9161290322580645,0.8727956989247312,0.8836914718268724,0.04011222008735903
structural,e5_large,hybrid,0.8,155,0.8451612903225807,0.9032258064516129,0.9161290322580645,0.871720430107527,0.8828467637393146,0.041774582093761815
structural,e5_large,hybrid,0.65,155,0.8451612903225807,0.9032258064516129,0.9096774193548387,0.869032258064516,0.8792234972125736,0.040184674724455804
fixed_size,none,bm25,,155,0.832258064516129,0.8838709677419355,0.8838709677419355,0.8548387096774194,0.8622880565668212,0.004565935750161448
structural,none,bm25,,155,0.832258064516129,0.8838709677419355,0.8838709677419355,0.8537634408602152,0.8614433484792634,0.005198106458110194
